markets,corrs,vols,mids,dates
TAN_ICLN,0.864126225,0.018449727,1,2012-01-31T00:00:00Z
TAN_ICLN,0.885963091,0.016149128,1,2012-02-29T00:00:00Z
TAN_ICLN,0.845853867,0.011835963,1,2012-03-30T00:00:00Z
TAN_ICLN,0.778199605,0.012898524,1,2012-04-30T00:00:00Z
TAN_ICLN,0.758393477,0.012597366,1,2012-05-31T00:00:00Z
TAN_ICLN,0.924803871,0.016527743,1,2012-06-29T00:00:00Z
TAN_ICLN,0.700031441,0.014597342,1,2012-07-31T00:00:00Z
TAN_ICLN,0.726492987,0.014910268,1,2012-08-31T00:00:00Z
TAN_ICLN,0.563205556,0.016627711,1,2012-09-28T00:00:00Z
TAN_ICLN,0.582858932,0.012802113,1,2012-10-31T00:00:00Z
TAN_ICLN,0.717555555,0.012023589,1,2012-11-30T00:00:00Z
TAN_ICLN,0.322282539,0.01470284,1,2012-12-31T00:00:00Z
TAN_ICLN,0.58123921,0.012237904,1,2013-01-31T00:00:00Z
TAN_ICLN,0.512994672,0.010685398,1,2013-02-28T00:00:00Z
TAN_ICLN,0.287608774,0.013378645,1,2013-03-28T00:00:00Z
TAN_ICLN,0.579975477,0.017890963,1,2013-04-30T00:00:00Z
TAN_ICLN,0.484323551,0.016977249,1,2013-05-31T00:00:00Z
TAN_ICLN,0.863079395,0.020263206,1,2013-06-28T00:00:00Z
TAN_ICLN,0.465991718,0.008190529,1,2013-07-31T00:00:00Z
TAN_ICLN,0.707574721,0.014903274,1,2013-08-30T00:00:00Z
TAN_ICLN,0.430326008,0.011472915,1,2013-09-30T00:00:00Z
TAN_ICLN,0.710488399,0.011408938,1,2013-10-31T00:00:00Z
TAN_ICLN,0.826154259,0.0133,1,2013-11-29T00:00:00Z
TAN_ICLN,0.559987128,0.010118753,1,2013-12-31T00:00:00Z
TAN_ICLN,0.890143943,0.014289991,1,2014-01-31T00:00:00Z
TAN_ICLN,0.699203573,0.012279368,1,2014-02-28T00:00:00Z
TAN_ICLN,0.593301522,0.012718421,1,2014-03-31T00:00:00Z
TAN_ICLN,0.78039566,0.014135476,1,2014-04-30T00:00:00Z
TAN_ICLN,0.79864716,0.013220112,1,2014-05-30T00:00:00Z
TAN_ICLN,0.682049568,0.008295549,1,2014-06-30T00:00:00Z
TAN_ICLN,0.830062143,0.012692433,1,2014-07-31T00:00:00Z
TAN_ICLN,0.662821017,0.007753766,1,2014-08-29T00:00:00Z
TAN_ICLN,0.753633679,0.011283474,1,2014-09-30T00:00:00Z
TAN_ICLN,0.816170802,0.017064785,1,2014-10-31T00:00:00Z
TAN_ICLN,0.803926935,0.010136239,1,2014-11-28T00:00:00Z
TAN_ICLN,0.648055125,0.010735169,1,2014-12-31T00:00:00Z
TAN_ICLN,0.879227549,0.013631461,1,2015-01-30T00:00:00Z
TAN_ICLN,0.735563851,0.010696365,1,2015-02-27T00:00:00Z
TAN_ICLN,0.744966309,0.017858282,1,2015-03-31T00:00:00Z
TAN_ICLN,0.596488771,0.012854237,1,2015-04-30T00:00:00Z
TAN_ICLN,0.285123608,0.011937506,1,2015-05-29T00:00:00Z
TAN_ICLN,0.688222093,0.011646157,1,2015-06-30T00:00:00Z
TAN_ICLN,0.832803805,0.022241589,1,2015-07-31T00:00:00Z
TAN_ICLN,0.84621029,0.021324358,1,2015-08-31T00:00:00Z
TAN_ICLN,0.910111035,0.017784647,1,2015-09-30T00:00:00Z
TAN_ICLN,0.792900039,0.014496735,1,2015-10-30T00:00:00Z
TAN_ICLN,0.833196416,0.010204324,1,2015-11-30T00:00:00Z
TAN_ICLN,0.904601246,0.016158427,1,2015-12-31T00:00:00Z
TAN_ICLN,0.826422793,0.022431042,1,2016-01-29T00:00:00Z
TAN_ICLN,0.86865563,0.018441409,1,2016-02-29T00:00:00Z
TAN_ICLN,0.567882296,0.013979815,1,2016-03-31T00:00:00Z
TAN_ICLN,0.681243885,0.011898858,1,2016-04-29T00:00:00Z
TAN_ICLN,0.478968668,0.013234984,1,2016-05-31T00:00:00Z
TAN_ICLN,0.861827024,0.022619587,1,2016-06-30T00:00:00Z
TAN_ICLN,0.808656455,0.009588278,1,2016-07-29T00:00:00Z
TAN_ICLN,0.575915638,0.00833421,1,2016-08-31T00:00:00Z
TAN_ICLN,0.823725066,0.014753992,1,2016-09-30T00:00:00Z
TAN_ICLN,0.792763071,0.010449473,1,2016-10-31T00:00:00Z
TAN_ICLN,0.643704835,0.017469021,1,2016-11-30T00:00:00Z
TAN_ICLN,0.535842706,0.011120955,1,2016-12-30T00:00:00Z
TAN_ICLN,0.614860823,0.007263279,1,2017-01-31T00:00:00Z
TAN_ICLN,0.642843023,0.007715025,1,2017-02-28T00:00:00Z
TAN_ICLN,0.608763676,0.007823195,1,2017-03-31T00:00:00Z
TAN_ICLN,0.390160651,0.006658684,1,2017-04-28T00:00:00Z
TAN_ICLN,0.370184116,0.010051174,1,2017-05-31T00:00:00Z
TAN_ICLN,0.562028387,0.007871989,1,2017-06-30T00:00:00Z
TAN_ICLN,0.649430576,0.009268914,1,2017-07-31T00:00:00Z
TAN_ICLN,0.591158354,0.008277898,1,2017-08-31T00:00:00Z
TAN_ICLN,0.350801968,0.008048316,1,2017-09-29T00:00:00Z
TAN_ICLN,0.474058749,0.006171527,1,2017-10-31T00:00:00Z
TAN_ICLN,0.584057372,0.009400527,1,2017-11-30T00:00:00Z
TAN_ICLN,0.728013908,0.008208403,1,2017-12-29T00:00:00Z
TAN_ICLN,0.783602426,0.007242034,1,2018-01-31T00:00:00Z
TAN_ICLN,0.966632937,0.014966376,1,2018-02-28T00:00:00Z
TAN_ICLN,0.748823934,0.011034763,1,2018-03-29T00:00:00Z
TAN_ICLN,0.740758017,0.010460203,1,2018-04-30T00:00:00Z
TAN_ICLN,0.610191469,0.009248879,1,2018-05-31T00:00:00Z
TAN_ICLN,0.444494365,0.007933133,1,2018-06-29T00:00:00Z
TAN_ICLN,0.222576026,0.007846631,1,2018-07-31T00:00:00Z
TAN_ICLN,0.699716318,0.009887996,1,2018-08-31T00:00:00Z
TAN_ICLN,0.619179823,0.006347636,1,2018-09-28T00:00:00Z
TAN_ICLN,0.809616471,0.01386721,1,2018-10-31T00:00:00Z
TAN_ICLN,0.856232026,0.012424151,1,2018-11-30T00:00:00Z
TAN_ICLN,0.865128187,0.013496359,1,2018-12-31T00:00:00Z
TAN_ICLN,0.800009283,0.010385092,1,2019-01-31T00:00:00Z
TAN_ICLN,0.60218848,0.006457108,1,2019-02-28T00:00:00Z
TAN_ICLN,0.79269817,0.010375581,1,2019-03-29T00:00:00Z
TAN_ICLN,0.56163162,0.00610985,1,2019-04-30T00:00:00Z
TAN_ICLN,0.900278887,0.011522546,1,2019-05-31T00:00:00Z
TAN_ICLN,0.855952432,0.008624696,1,2019-06-28T00:00:00Z
TAN_ICLN,0.126331516,0.005192067,1,2019-07-31T00:00:00Z
